"ETABLISSEMENT","","FORMATION","","","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Formation initiale ou continue","Comptabilité"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Pratique de la négociation interculturelle","Autres","Management","Définir ce qu’est la culture en négociation ; Savoir s’adapter à son interlocuteur en adoptant la bonne posture ; Savoir préparer et conduire une négociation interculturelle","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action230/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Réflexes pour réussir sa prise de poste","Autres","Management","Comprendre rapidement son nouvel environnement et son fonctionnement ; Identifier les attentes, besoins et modes de fonctionnement de sa nouvelle équipe ; Savoir se positionner au sein de sa nouvelle structure (équipe, hiérarchie, organisation)","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action223/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Techniques et stratégies de négociation","Autres","Management","Non indiqué","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action269/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Comprendre l'UE en une journée","Autres","Affaires Européennes","Comprendre le contexte institutionnel et politique européen ; Percevoir l'articulation de ce contexte européen avec son administration ou sa structure nationale.","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action253/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Module III La négociation européenne","Autres","Affaires Européennes","Avoir une vision globale et cohérente des processus interinstitutionnels, du positionnement des acteurs et des stratégies d'influence ; Améliorer l'efficacité opérationnelle de son action européenne ; Echanger sur son expérience et développer son réseau professionnel","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action250/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Module II Les stratégies d'influence et de négociation","Autres","Affaires Européennes","Avoir une vision globale et cohérente des processus interinstitutionnels, du positionnement des acteurs et des stratégies d'influence ; Améliorer l'efficacité opérationnelle de son action européenne ; Echanger sur son expérience et développer son réseau professionnel","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action252/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Module I La concertation et les procédures institutionnelles","Autres","Affaires Européennes","Acquérir ou actualiser ses connaissances sur les processus décisionnels et l’équilibre institutionnel de l’UE ; Cerner les enjeux et la pratique des concertations et du lobbying auprès de la Commission dans la phase d’élaboration d’une proposition législative","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action249/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Module IV L'exécution et la transposition des dispositions européennes ","Autres","Affaires Européennes","Avoir une vision globale et cohérente des processus interinstitutionnels, du positionnement des acteurs et des stratégies d'influence ; Améliorer l'efficacité opérationnelle de son action européenne ; Echanger sur son expérience et développer son réseau professionnel","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action248/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Module V La prévention du contentieux lié à l'application des politiques europénnes ","Autres","Affaires Européennes","Avoir une vision globale et cohérente des processus interinstitutionnels, du positionnement des acteurs et des stratégies d'influence ; Améliorer l'efficacité opérationnelle de son action européenne ; Echanger sur son expérience et développer son réseau professionnel","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://candidature-formation.ena.fr/registration/action251/info/  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycle des Hautes Etudes Européennes","Autres","Affaires Européennes","Cette formation comporte un socle de base, auquel s’ajoute un approfondissement des thématiques d’actualité. Le Cycle des hautes études européennes privilégie un contenu et des méthodes pédagogiques centrés sur l’expérience concrète. Il permet aux participants de rencontrer des praticiens de haut niveau des affaires européennes. Il accorde une importance centrale aux études de cas et aux simulations de négociations européennes. Il prévoit aussi d’importantes séquences d’échange entre les participants.","Tous niveaux","Non pertinent","1.0","Non pertinent ","https://www.ena.fr/Formation-continue/Cycles-Internationaux-et-d-approfondissement/CHEE  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycles internationaux spécialisés d'administration publique - Diplomatie économique : enjeux européens et internationaux","Autres","Diplomatie","Maîtriser les acteurs, les outils et les objectifs en présence dans la défense des intérêts économiques aux échelles nationale, européenne et internationale. Saisir les enjeux et les positions des différents acteurs dans le cadre d’une négociation. Apprendre à mieux négocier, exploiter les opportunités et appréhender les techniques de négociation dans un contexte interculturel.","Tous niveaux","Non pertinent","0.0","Non pertinent ","https://www.ena.fr/Formation-continue/Cycles-Internationaux-et-d-approfondissement/CISAP/Info-Cisap-a-venir-hors-catalogue-2018/Diplomatie-economique-enjeux-europeens-et-internationaux  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycle supérieur de perfectionnement des administrateurs","Autres","Gestion publique","Séminaire d'intégration, enseignements thématiques (gestion des ressources humaines, management, économie, finances publiques, politiques publiques, etc.), conférences, sessions de mise en situation, travaux collectifs. ","Tous niveaux","Non pertinent","0.5","Non pertinent ","https://www.ena.fr/Formation-continue/Formations-type-reglementaire/cycle-superieur-perfectionnement-administrateurs  ","Non","Non","","","","","","","","Formation continue","1.0"
"Ecole_formant_des_élèves_fonctionnaires_non_ingénieurs","Ecole Nationale d'Administration (ENA)","Cycle d'intégration des officiers","Autres","Gestion publique","Cycle de formation spécifique à l'attention des officiers admis à occuper des emplois vacants au sein des administrations de l'État","Tous niveaux","Non pertinent","0.5","Non pertinent ","https://www.ena.fr/Formation-continue/Formations-type-reglementaire/cycle-integration-officiers ","Non","Non","","","","","","","","Formation continue","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
"","","","","","","","","","","","","","","","","","","","","","1.0"
