"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","",""
"Université","Université de Strasbourg","Licence - Droit général","Droit, Economie, Gestion","Droit","Ce parcours a pour vocation de permettre aux étudiants d’acquérir les connaissances essentielles en droit. La formation offre ainsi un socle obligatoires d’enseignements fondamentaux. Les étudiants peuvent en outre s’ouvrir à d’autres matières, telles que le droit anglais, le droit allemand, la comptabilité, la science politique, l’économie.","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME74&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN7098&cHash=8da4ba31a1fcd0cbdadb8b6af90d26f1","Improbable","Improbable","Grands débats politiques et sociaux","L’État, la Constitution, démocratie","Obligatoire","non indiqué","non indiqué","non indiqué","","1.0"
"Université","Université de Strasbourg","LICENCE - Droit canonique","Droit, Economie, Gestion","Droit","En plus des enseignements disciplinaires, qui représentent la part la plus importante, la licence de droit canonique comporte, au sein de chacun des deux semestres L-S5 et L-S6, un module de langues vivantes étrangères et de langue latine (dont la connaissance est capitale pour l'exploitation des textes de référence (latin) et des études canoniques spécialisées publiées en diverses langues, italien, allemand, espagnol…), un cours de méthodologie du travail universitaire, et une UE optionnelle (UE d'ouverture). Un stage obligatoire est en outre prévu en L-S6.","Bac+2","Bac+3","1.0","60.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME57&cHash=000f0219aecf091620b93c4ee3093624#data-rof-tab-presentation","Non","Non","","","","","","","","1.0"
"Université","Université de Strasbourg","Licence - Géographie et aménagement","Sciences Humaines et sociales","Géographie et aménagement","La licence de géographie est divisée en 3 années. Les deux premières années sont communes à tous les étudiants et vous permettront de maîtriser les connaissances et les outils de la géographie. En plus des Unités d'Enseignement (UE) obligatoires, vous pourrez choisir une UE optionnelle par semestre en fonction de vos préférences. Lors de la troisième année, vous serez amenés à choisir entre deux parcours spécifiques (Licence de géographie ou d’aménagement du territoire). Les effectifs sont restreints (une centaine d'étudiants en première année) et permettent un suivi appréciable des étudiants par les enseignants.","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME59&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN24394&cHash=4cae2f4ae6bc7e03ea9d9f800e7d1697","Oui","Improbable","Planète Terre","Energie solaire et atmosphère, Energie et climats, Les grands cycles (eau, carbone), Les grands climats terrestres, La pollution atmosphérique","Obligatoire","non indiqué","non indiqué","non indiqué","","1.0"
"Université","Université de Strasbourg","Licence - Géographie et aménagement","Sciences Humaines et sociales","Géographie et aménagement","La licence de géographie est divisée en 3 années. Les deux premières années sont communes à tous les étudiants et vous permettront de maîtriser les connaissances et les outils de la géographie. En plus des Unités d'Enseignement (UE) obligatoires, vous pourrez choisir une UE optionnelle par semestre en fonction de vos préférences. Lors de la troisième année, vous serez amenés à choisir entre deux parcours spécifiques (Licence de géographie ou d’aménagement du territoire). Les effectifs sont restreints (une centaine d'étudiants en première année) et permettent un suivi appréciable des étudiants par les enseignants.","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME59&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN3737&cHash=12d7c92b305a2d4f375eb1552690231f","Oui","Improbable","Climatologie dynamique","atmosphèreniveau régionalression, température, humidité, ventanticylones, dépressions","Obligatoire","non indiqué","24.0","non indiqué","",""
"Université","Université de Strasbourg","Licence - Géographie et aménagement","Sciences Humaines et sociales","Géographie et aménagement","La licence de géographie est divisée en 3 années. Les deux premières années sont communes à tous les étudiants et vous permettront de maîtriser les connaissances et les outils de la géographie. En plus des Unités d'Enseignement (UE) obligatoires, vous pourrez choisir une UE optionnelle par semestre en fonction de vos préférences. Lors de la troisième année, vous serez amenés à choisir entre deux parcours spécifiques (Licence de géographie ou d’aménagement du territoire). Les effectifs sont restreints (une centaine d'étudiants en première année) et permettent un suivi appréciable des étudiants par les enseignants.","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME59&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN3740&cHash=5bf476f3ef164ccb40b93ba771c57806","Improbable","Improbable","Géographie économique","localisation des ressources naturelles, de la production agricole, des industries, des services. interactions entre les villes, les régions, les pays. - Les interactions entre entreprises et le rôle de la proximité dans la localisation","Obligatoire","non indiqué","26.0","non indiqué","",""
"Université","Université de Strasbourg","Licence - Géographie et aménagement","Sciences Humaines et sociales","Géographie et aménagement","La licence de géographie est divisée en 3 années. Les deux premières années sont communes à tous les étudiants et vous permettront de maîtriser les connaissances et les outils de la géographie. En plus des Unités d'Enseignement (UE) obligatoires, vous pourrez choisir une UE optionnelle par semestre en fonction de vos préférences. Lors de la troisième année, vous serez amenés à choisir entre deux parcours spécifiques (Licence de géographie ou d’aménagement du territoire). Les effectifs sont restreints (une centaine d'étudiants en première année) et permettent un suivi appréciable des étudiants par les enseignants.","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME59&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN3751&cHash=97e7edaf298caf02b559374d2f0670b0","Improbable","Improbable","Territoire, environnement et gestion I","non indiqué","Obligatoire","non indiqué","28.0","non indiqué","",""
"Université","Université de Strasbourg","Licence - Géographie et aménagement","Sciences Humaines et sociales","Géographie et aménagement","La licence de géographie est divisée en 3 années. Les deux premières années sont communes à tous les étudiants et vous permettront de maîtriser les connaissances et les outils de la géographie. En plus des Unités d'Enseignement (UE) obligatoires, vous pourrez choisir une UE optionnelle par semestre en fonction de vos préférences. Lors de la troisième année, vous serez amenés à choisir entre deux parcours spécifiques (Licence de géographie ou d’aménagement du territoire). Les effectifs sont restreints (une centaine d'étudiants en première année) et permettent un suivi appréciable des étudiants par les enseignants.","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME59&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN13091&cHash=d8fca7afb1a944dff2b1532d82bf71ca","Improbable","Improbable","Les politiques d'aménagement en France","évolution de l’aménagement du territoirevision prospective, les hommes et leurs activités, nouvelle étape de mondialisation, Trente Glorieuses","Obligatoire","non indiqué","24.0","non indiqué","",""
"Université","Université de Strasbourg","Licence - Géographie et aménagement","Sciences Humaines et sociales","Géographie et aménagement","La licence de géographie est divisée en 3 années. Les deux premières années sont communes à tous les étudiants et vous permettront de maîtriser les connaissances et les outils de la géographie. En plus des Unités d'Enseignement (UE) obligatoires, vous pourrez choisir une UE optionnelle par semestre en fonction de vos préférences. Lors de la troisième année, vous serez amenés à choisir entre deux parcours spécifiques (Licence de géographie ou d’aménagement du territoire). Les effectifs sont restreints (une centaine d'étudiants en première année) et permettent un suivi appréciable des étudiants par les enseignants.","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME59&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN13093&cHash=375a7720ee4ebf08732ea564ab5fb449","Oui","Improbable","Climatologie- Topoclimatologie","interaction entre l’atmosphère et la surface terrestre, phénomènes locaux","Obligatoire","non indiqué","24.0","non indiqué","",""
"Université","Université de Strasbourg","Licence - Géographie et aménagement","Sciences Humaines et sociales","Géographie et aménagement","La licence de géographie est divisée en 3 années. Les deux premières années sont communes à tous les étudiants et vous permettront de maîtriser les connaissances et les outils de la géographie. En plus des Unités d'Enseignement (UE) obligatoires, vous pourrez choisir une UE optionnelle par semestre en fonction de vos préférences. Lors de la troisième année, vous serez amenés à choisir entre deux parcours spécifiques (Licence de géographie ou d’aménagement du territoire). Les effectifs sont restreints (une centaine d'étudiants en première année) et permettent un suivi appréciable des étudiants par les enseignants.","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME59&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN13096&cHash=a4d1daf6e5782a65d798ec9262bb22e9","Improbable","Improbable","Histoire de l'urbanisme","naissance au XIXe siècle jusqu’à ses transformations contemporaines sous l’impact de la métropolisation, nouvelle étape de mondialisation","Obligatoire","non indiqué","26.0","non indiqué","",""
"Université","Université de Strasbourg","Licence - Géographie et aménagement","Sciences Humaines et sociales","Géographie et aménagement","La licence de géographie est divisée en 3 années. Les deux premières années sont communes à tous les étudiants et vous permettront de maîtriser les connaissances et les outils de la géographie. En plus des Unités d'Enseignement (UE) obligatoires, vous pourrez choisir une UE optionnelle par semestre en fonction de vos préférences. Lors de la troisième année, vous serez amenés à choisir entre deux parcours spécifiques (Licence de géographie ou d’aménagement du territoire). Les effectifs sont restreints (une centaine d'étudiants en première année) et permettent un suivi appréciable des étudiants par les enseignants.","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME59&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN13111&cHash=8de396d274720c911f8ce574f0d90ff7","Improbable","Improbable","Territoires en mutations","nouvelles technologies, nouvelles connaissances et appréhension du réel, mutations écologiques des milieux","Obligatoire","non indiqué","28.0","non indiqué","",""
"Université","Université de Strasbourg","Licence - Aménagement du territoire (L3)","Sciences Humaines et sociales","Géographie et aménagement","La licence de géographie est divisée en 3 années. Les deux premières années sont communes à tous les étudiants et vous permettront de maîtriser les connaissances et les outils de la géographie. En plus des Unités d'Enseignement (UE) obligatoires, vous pourrez choisir une UE optionnelle par semestre en fonction de vos préférences. Lors de la troisième année, vous serez amenés à choisir entre deux parcours spécifiques (Licence de géographie ou d’aménagement du territoire). Les effectifs sont restreints (une centaine d'étudiants en première année) et permettent un suivi appréciable des étudiants par les enseignants.","Bac+2","Bac+3","1.0","60.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME59&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN12025&cHash=d11ee8fee0afa39dc5f2bf0a388317b6","Oui","Improbable","Aléas, changements climatiques et leurs impacts","problématique de la nature en ville, la question des trames vertes et des trames bleues. L’intégration de l’environnement dans les documents de planification","Obligatoire","non indiqué","18.0","non indiqué","","1.0"
"Université","Université de Strasbourg","Licence - Aménagement du territoire (L3)","Sciences Humaines et sociales","Géographie et aménagement","La licence de géographie est divisée en 3 années. Les deux premières années sont communes à tous les étudiants et vous permettront de maîtriser les connaissances et les outils de la géographie. En plus des Unités d'Enseignement (UE) obligatoires, vous pourrez choisir une UE optionnelle par semestre en fonction de vos préférences. Lors de la troisième année, vous serez amenés à choisir entre deux parcours spécifiques (Licence de géographie ou d’aménagement du territoire). Les effectifs sont restreints (une centaine d'étudiants en première année) et permettent un suivi appréciable des étudiants par les enseignants.","Bac+2","Bac+3","1.0","60.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME59&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN12028&cHash=e6efb2d49cc69923f44a3dae6e71ef63","Oui","Improbable","Risques naturels et leurs aménagements","causes profondes des impacts de certains phénomènes extrêmes, réduire les impacts des aléas naturels","Obligatoire","non indiqué","10.0","non indiqué","","1.0"
"Université","Université de Strasbourg","Licence - Aménagement du territoire (L3)","Sciences Humaines et sociales","Géographie et aménagement","La licence de géographie est divisée en 3 années. Les deux premières années sont communes à tous les étudiants et vous permettront de maîtriser les connaissances et les outils de la géographie. En plus des Unités d'Enseignement (UE) obligatoires, vous pourrez choisir une UE optionnelle par semestre en fonction de vos préférences. Lors de la troisième année, vous serez amenés à choisir entre deux parcours spécifiques (Licence de géographie ou d’aménagement du territoire). Les effectifs sont restreints (une centaine d'étudiants en première année) et permettent un suivi appréciable des étudiants par les enseignants.","Bac+2","Bac+3","1.0","60.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME59&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN12034&cHash=765cbae4fe9d0d19f7a597ee6aaa7fd8","Oui","Improbable","Fonctionnement et gestion des milieux naturels","séries écologiques dynamique progressive et régressive, contextes climatiques variésplan écologique, dynamique des écosystèmes, fonctionnalité plan énergétique","Obligatoire","non indiqué","15.0","non indiqué","","1.0"
"Université","Université de Strasbourg","Licence - Aménagement du territoire (L3)","Sciences Humaines et sociales","Géographie et aménagement","La licence de géographie est divisée en 3 années. Les deux premières années sont communes à tous les étudiants et vous permettront de maîtriser les connaissances et les outils de la géographie. En plus des Unités d'Enseignement (UE) obligatoires, vous pourrez choisir une UE optionnelle par semestre en fonction de vos préférences. Lors de la troisième année, vous serez amenés à choisir entre deux parcours spécifiques (Licence de géographie ou d’aménagement du territoire). Les effectifs sont restreints (une centaine d'étudiants en première année) et permettent un suivi appréciable des étudiants par les enseignants.","Bac+2","Bac+3","1.0","60.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME59&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN3740&cHash=5bf476f3ef164ccb40b93ba771c57806","Improbable","Improbable","Géographie économique","localisation des ressources naturelles, de la production agricole, des industries, des servicesinteractions entre les villes, les régions, les paysinteractions entre entreprises et le rôle de la proximité dans la localisation de celles-cimondialisation","Obligatoire","non indiqué","26.0","non indiqué","","1.0"
"Université","Université de Strasbourg","Licence - Aménagement du territoire (L3)","Sciences Humaines et sociales","Géographie et aménagement","La licence de géographie est divisée en 3 années. Les deux premières années sont communes à tous les étudiants et vous permettront de maîtriser les connaissances et les outils de la géographie. En plus des Unités d'Enseignement (UE) obligatoires, vous pourrez choisir une UE optionnelle par semestre en fonction de vos préférences. Lors de la troisième année, vous serez amenés à choisir entre deux parcours spécifiques (Licence de géographie ou d’aménagement du territoire). Les effectifs sont restreints (une centaine d'étudiants en première année) et permettent un suivi appréciable des étudiants par les enseignants.","Bac+2","Bac+3","1.0","60.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME59&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN13090&cHash=bb217616eb2ed000cd9ed47e66cc15da","Improbable","Improbable","Territoires, environnement et gestion II","non indiqué","Obligatoire","non indiqué","24.0","non indiqué","","1.0"
"Université","Université de Strasbourg","Licence - Aménagement du territoire (L3)","Sciences Humaines et sociales","Géographie et aménagement","La licence de géographie est divisée en 3 années. Les deux premières années sont communes à tous les étudiants et vous permettront de maîtriser les connaissances et les outils de la géographie. En plus des Unités d'Enseignement (UE) obligatoires, vous pourrez choisir une UE optionnelle par semestre en fonction de vos préférences. Lors de la troisième année, vous serez amenés à choisir entre deux parcours spécifiques (Licence de géographie ou d’aménagement du territoire). Les effectifs sont restreints (une centaine d'étudiants en première année) et permettent un suivi appréciable des étudiants par les enseignants.","Bac+2","Bac+3","1.0","60.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME59&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN12096&cHash=aa3a930772261e3bd394289cef994f7f","Oui","Improbable","Les politiques d'aménagement en Europe et dans le monde","référentiels de la « durabilité » et de la « créativité ».","Obligatoire","non indiqué","16.0","non indiqué","","1.0"
"Université","Université de Strasbourg","Licence - Histoire","Sciences Humaines et sociales","Histoire","Culture générale historique centrée sur les espaces européen et méditerranéen depuis l’Antiquité jusqu’à l’époque contemporaine. A l’issue de la formation, un.e licencié.e a une connaissance générale de l’histoire européenne (Antiquité grecque et romaine, Moyen Âge européen, Temps Modernes, histoire contemporaine des XIXe et XXe siècles) : il/elle en connaît les grandes phases, les périodes et évolutions majeures, les faits et acteurs marquants.","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME12&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN23217&cHash=807a610fdc0dda82b67dfe1746ea2221","Improbable","Improbable","Cultures politiques : doctrines et fonctionnement des institutions françaises et européennes","enjeux politiques contemporains replacés dans une perspective historique","Obligatoire","non indiqué","24.0","non indiqué","","1.0"
"Université","Université de Strasbourg","Licence - Histoire","Sciences Humaines et sociales","Histoire","Culture générale historique centrée sur les espaces européen et méditerranéen depuis l’Antiquité jusqu’à l’époque contemporaine. A l’issue de la formation, un.e licencié.e a une connaissance générale de l’histoire européenne (Antiquité grecque et romaine, Moyen Âge européen, Temps Modernes, histoire contemporaine des XIXe et XXe siècles) : il/elle en connaît les grandes phases, les périodes et évolutions majeures, les faits et acteurs marquants.","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME12&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN23253&cHash=e0e411db1f6c115fdf0508fc361e1a76","Improbable","Improbable","Histoire économique et sociale - S4","non indiqué","Obligatoire","non indiqué","30.0","non indiqué","",""
"Université","Université de Strasbourg","Licence - Histoire et civilisation des mondes musulmans","Sciences Humaines et sociales","Histoire","Transmettre une culture générale sur l’islam, les mondes musulmans et leur histoire à travers les grandes périodes. Il s’agit en particulier d’étudier l’Islam (civilisation) et l’islam (religion) dans leur contexte.hitstorique, de manière universitaire, objective, historico-critique, et non confessionnelle. Cette licence a également pour but d’apporter des bases en langues orientales, au premier plan l’arabe classique, sans lesquelles la compréhension des mondes musulmans et de leur histoire n’est pas concevable.","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME12&cHash=819bed6fc81100ff73f23585b9a75bf4#data-rof-tab-presentation","Non","Non","","","","","","","","1.0"
"Université","Université de Strasbourg","Licence - TRISTRA - Histoire franco-allemande","Sciences Humaines et sociales","Histoire","TRISTA-L (nouveau parcours 2017-2018 – parcours franco-allemand, en partenariat avec l’Université de Trier/Trèves) Au S1, les étudiants strasbourgeois de Tristra-L suivent le cursus commun de la licence d’histoire avec, toutefois, deux particularités : un renforcement des heures d’allemand, et un séminaire-bloc, commun aux étudiants de Strasbourg et de Trèves (4 demi-journées à chaque semestre, pour les trois niveaux de licence Tristra-L). Aux S2, S3 et S4, ils poursuivent ensuite leurs études à Trèves, avant de rentrer à Strasbourg en 3e année (cursus général de la licence d’histoire en S5 et S6).","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME12&cHash=819bed6fc81100ff73f23585b9a75bf4#data-rof-tab-presentation","Non","Non","","","","","","","","1.0"
"Université","Université de Strasbourg","LICENCE -  Archéologie","Sciences Humaines et sociales","Histoire de l'art et archéologie","L’objectif général du parcours Archéologie est double : 1. permettre aux étudiants d’acquérir les savoirs indispensables (disciplinaires, épistémologiques) à une réflexion historique menée à partir de données matérielles d’une culture et 2. les savoir-faire nécessaires à la collecte, l’enregistrement et le traitement des données archéologiques. L’enseignement s’appuie donc sur la combinaison de cours disciplinaires (formation généraliste à tous les domaines chrono-culturels présents dans le département au cours des deux premières années, puis spécialisation en 3e année), et d’une formation pratique (à travers les modules de Méthode de l’archéologie à chaque semestre, la politique des stages – 2 stages obligatoires –, et, de manière optionnelle mais avec une forte incitation de l’équipe pédagogique selon les projets des étudiants, les modules de langues anciennes, épigraphie et papyrologie, etc.).","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME13&cHash=6e268a54fbbdd600964b978e252e8770#data-rof-tab-presentation","Non","Non","","","","","","","","1.0"
"Université","Université de Strasbourg","LICENCE - Histoire de l'art","Sciences Humaines et sociales","Histoire de l'art et archéologie","L’objectif général du parcours Histoire de l’Art est aussi double : 1. permettre aux étudiants d’acquérir à la fois une vision d’ensemble et une connaissance fine de toutes les périodes et aires culturelles représentées au sein du département à travers un parcours progressif organisé en trois ou quatre niveaux de complexité (art médiéval, moderne et contemporain 1 à 4, art byzantin et islamique 1 à 3). 2. leur donner les moyens de développer les compétences nécessaires à l’étude des cultures artistiques et visuelles (architecture, sculpture, peinture, objets d’art…) par la recherche documentaire, la description technique, l’analyse iconographique et stylistique, la critique historique, socio-économique, esthétique…","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME13&cHash=6e268a54fbbdd600964b978e252e8770#data-rof-tab-presentation","Non","Non","","","","","","","","1.0"
"Université","Université de Strasbourg","LICENCE - Humanités","Sciences Humaines et sociales","Humanités","Formation pluridisciplinaire et intensive dans quatre disciplines littéraires : les lettres (littérature française, francophone et comparée ; langue ancienne ; littérature de l’Antiquité), l’histoire, la philosophie, les langues vivantes (2LVE obligatoires)","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME153&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN29261&cHash=307e80b645a050995465e46daef3fb2c","Improbable","Improbable","Histoire contemporaine","non indiqué","Obligatoire","non indiqué","72.0","non indiqué","","1.0"
"Université","Université de Strasbourg","LICENCE - Humanités","Sciences Humaines et sociales","Humanités","Formation pluridisciplinaire et intensive dans quatre disciplines littéraires : les lettres (littérature française, francophone et comparée ; langue ancienne ; littérature de l’Antiquité), l’histoire, la philosophie, les langues vivantes (2LVE obligatoires)","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME153&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN29335&cHash=5f35a500afbed26c6096059413f703a6","Improbable","Improbable","Civilisation américaine","non indiqué","Obligatoire","non indiqué","24.0","non indiqué","","1.0"
"Université","Université de Strasbourg","LICENCE - Informatique","Sciences, Technologie, Santé","Informatique","La première année L1 est commune avec la licence de sciences, mention Mathématiques. La seconde année L2 est spécifique à l'informatique. A l'issue de cette seconde année, les étudiants désirant entrer plus rapidement dans la vie active peuvent s'orienter vers une licence professionnelle, comme par exemple la licence « Systèmes Informatiques et Logiciels » (SIL) cohabilitée avec l'Université Robert Schuman.","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME6&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN26106&cHash=cff961ca9919addd05c83fb08cd85e48","Improbable","Improbable","UE Opt 3- Économie & Gestion","Environnement économique des entreprises, structures de marché qui guident le comportement des firmes","Optionnel","non indiqué","20.0","non indiqué","","1.0"
"Université","Université de Strasbourg","LICENCE - Métiers de l'informatique - L3","Sciences, Technologie, Santé","Informatique","La première année L1 est commune avec la licence de sciences, mention Mathématiques. La seconde année L2 est spécifique à l'informatique. A l'issue de cette seconde année, les étudiants désirant entrer plus rapidement dans la vie active peuvent s'orienter vers une licence professionnelle, comme par exemple la licence « Systèmes Informatiques et Logiciels » (SIL) cohabilitée avec l'Université Robert Schuman.","Bac+2","Bac+4","1.0","60.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME6&cHash=a68bd2a50c4b50c72f0ed84044e7f562#data-rof-tab-presentation","Non indiqué","Non indiqué","","","","","","","","1.0"
"Université","Université de Strasbourg","LICENCE - Complément pour le CMI Réseaux","Sciences, Technologie, Santé","Informatique","La première année L1 est commune avec la licence de sciences, mention Mathématiques. La seconde année L2 est spécifique à l'informatique. A l'issue de cette seconde année, les étudiants désirant entrer plus rapidement dans la vie active peuvent s'orienter vers une licence professionnelle, comme par exemple la licence « Systèmes Informatiques et Logiciels » (SIL) cohabilitée avec l'Université Robert Schuman.","Bac+2","Bac+4","1.0","60.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME6&cHash=a68bd2a50c4b50c72f0ed84044e7f562#data-rof-tab-presentation","Non","Non","","","","","","","","1.0"
"Université","Université de Strasbourg","LICENCE - Complément pour le CMI Image (IIRVIJ)","Sciences, Technologie, Santé","Informatique","Les Cursus Master en Ingénierie (CMI) sont des formations d’excellence mises en place par le réseau FIGURE (Formation à l’Ingénierie par des Universités de Recherche), projet labellisé « Initiatives d’excellence en formations innovantes » (IDEFI) par l’Agence Nationale de la Recherche.","Bac+2","Bac+4","1.0","60.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME6&cHash=a68bd2a50c4b50c72f0ed84044e7f562#data-rof-tab-presentation","Non","Non","","","","","","","","1.0"
"Université","Université de Strasbourg","LICENCE - Langues étrangères appliquées","Sciences Humaines et sociales","Langues étrangères appliquées","Filière à visée pluridisciplinaire et professionnalisante, la licence LEA a pour objectif de former des diplômés polyvalents, dotés de très bonnes compétences plurilingues et pluriculturelles en français et deux, voire trois, langues vivantes étrangères. Les étudiants seront amenés à développer une très bonne connaissance des problèmes politiques, économiques, sociaux du monde contemporain, une compréhension approfondie des aires géographiques et culturelles associées aux langues étudiées. Ils seront initiés aux fondements des matières d’application notamment en droit, économie, commerce etc.","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME88&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN20184&cHash=ea1ad8f2792a74dff217c02c2982e8b6","Improbable","Improbable","S1 - Introduction aux notions de civilisation","réalités contemporaines dans les sociétés des différentes aires géographiques et culturelles concernées","Obligatoire","non indiqué","12.0","non indiqué","","1.0"
"Université","Université de Strasbourg","LICENCE - Langues étrangères appliquées","Sciences Humaines et sociales","Langues étrangères appliquées","Filière à visée pluridisciplinaire et professionnalisante, la licence LEA a pour objectif de former des diplômés polyvalents, dotés de très bonnes compétences plurilingues et pluriculturelles en français et deux, voire trois, langues vivantes étrangères. Les étudiants seront amenés à développer une très bonne connaissance des problèmes politiques, économiques, sociaux du monde contemporain, une compréhension approfondie des aires géographiques et culturelles associées aux langues étudiées. Ils seront initiés aux fondements des matières d’application notamment en droit, économie, commerce etc.","Bac+0","Bac+3","3.0","180.0","https://www.unistra.fr/index.php?id=27885&tx_unistrarof_pi1%5Brof-program%5D=ME88&tx_unistrarof_pi1%5Brof-course%5D=FRUAI0673021VCOEN20779&cHash=1d6441c1ed4e44139b45592881531579","Improbable","Improbable","S3 - Commerce international","enjeux de la mondialisation dans ces dimensions économique et financière bien sûr, mais aussi dans ses dimensions politique, sociale et culturelle.","Obligatoire","non indiqué","18.0","non indiqué","",""
